"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"1",0.0032625,0.3664875,0.845205,1.365465,0.68234,5.59,0.531446541,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"2",0.00435,0.3342975,1.174065,1.294995,0.65788,5.85,0.546583851,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"3",0,0.34539,0.96222,1.554255,0.65155,5.73,0.529230769,0,0,0,0,0,0,1,0,0,0,0,0,0,"I",1
"4",0.0097875,0.3295125,1.00659,1.43202,0.64415,5.81,0.56119403,0,0,0,0,0,1,0,0,0,0,0,0,0,"A",1
"5",0.0050025,0.364095,1.054005,NA,0.64225,5.59,0.563291139,0,1,0,0,0,0,0,0,0,0,0,0,0,"P",1
"6",0.0015225,0.324075,1.215825,1.550775,0.64724,5.67,0.67752443,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"7",0.00261,0.3151575,0.999195,1.486395,0.65977,5.61,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"8",0.001305,0.35844,1.05009,1.53381,0.67364,5.67,0.616519174,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"9",0.0028275,0.325815,1.00137,1.42506,0.60993,5.63,0.6875,0,0,0,0,0,0,0,1,0,0,0,0,0,"SU",1
"10",0.0002175,0.2958,1.879635,1.288905,0.67806,5.64,0.48603352,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
"11",0.0006525,0.396285,1.107075,1.699545,0.65873,5.71,0.523809524,0,0,0,0,0,0,1,0,0,0,0,0,0,"I",1
"12",0.00174,0.4169475,1.157535,0.98745,0.62915,6.72,0.55393586,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
"13",0.00087,0.347565,1.110555,1.20147,0.60871,5.64,0.582554517,0,0,0,0,0,1,0,0,0,0,0,0,0,"A",1
"14",0.0015225,0.3369075,0.98571,1.607325,0.63761,5.85,0.692789969,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
