"","Random.Nr","Tube.Nr","Factor.Num","Tube.label","Factor.Spec","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"1",1,261,0,"261-C-0","Control",0.0032625,0.3664875,0.845205,1.365465,0.68234,5.59,0.531446541
"2",2,258,0,"258-C-0","Control",0.00435,0.3342975,1.174065,1.294995,0.65788,5.85,0.546583851
"3",3,191,1,"191-S-6","Insect",0,0.34539,0.96222,1.554255,0.65155,5.73,0.529230769
"4",4,128,2,"128-2f--12","Two Factors",0.00261,0.3464775,1.26498,1.388085,0.67391,5.8,0.461290323
"5",5,172,1,"172-S-5","AntiB",0.0097875,0.3295125,1.00659,1.43202,0.64415,5.81,0.56119403
"6",6,142,2,"142-2f-D-6","Two Factors",0.0036975,0.344955,1.17015,NA,0.62834,5.92,0.665680473
"7",7,64,5,"64-5f--13568","Five Factors",0.0006525,0.3543075,1.018335,0.510255,0.68991,5.82,0.579470199
"8",8,151,1,"151-S-1","PFAS",0.0050025,0.364095,1.054005,NA,0.64225,5.59,0.563291139
"9",9,260,0,"260-C-0","Control",0.0015225,0.324075,1.215825,1.550775,0.64724,5.67,0.67752443
"10",10,250,0,"250-C-0","Control",0.00261,0.3151575,0.999195,1.486395,0.65977,5.61,0.6
"11",11,137,2,"137-2f--2S","Two Factors",0.00087,0.68034,2.52474,1.748265,0.62106,6.59,0.334328358
"12",12,81,5,"81-5f--2356S","Five Factors",0.00174,0.5056875,1.684755,1.49901,0.61825,6.33,0.630363036
"13",13,86,5,"86-5f--15689","Five Factors",0.0010875,0.2707875,0.874785,1.488135,0.48086,6.09,0.620578778
"14",14,252,0,"252-C-0","Control",0.001305,0.35844,1.05009,1.53381,0.67364,5.67,0.616519174
"15",15,202,1,"202-S-7","Surf",0.0028275,0.325815,1.00137,1.42506,0.60993,5.63,0.6875
"16",16,65,5,"65-5f--23489","Five Factors",0.0050025,0.465885,1.33284,1.572525,0.71693,6.05,0.587692308
"17",17,188,1,"188-S-9","Herb",0.0002175,0.2958,1.879635,1.288905,0.67806,5.64,0.48603352
"18",18,148,2,"148-2f--7S","Two Factors",0.003915,0.4978575,1.801335,1.980555,0.63213,6.83,0.408227848
"19",19,30,8,"30-8f--123457MS","Eight Factors",0.0019575,0.497205,1.742175,1.79046,0.5962,6.46,0.36746988
"20",20,43,8,"43-8f--356789MS","Eight Factors",NA,0.366705,1.527285,1.385475,0.63042,6.78,0.46969697
"21",21,198,1,"198-S-6","Insect",0.0006525,0.396285,1.107075,1.699545,0.65873,5.71,0.523809524
"22",22,36,8,"36-8f--136789MS","Eight Factors",0.0032625,0.4304325,1.44681,1.586445,0.65999,6.93,0.543973941
"23",23,113,2,"113-2f--S3","Two Factors",NA,0.3899775,1.483785,1.57296,0.63238,6.65,0.501519757
"24",24,38,8,"38-8f--124689MS","Eight Factors",0.0145725,0.3129825,1.70781,1.506405,0.60961,6.69,0.48013245
"25",25,134,2,"134-2f--6S","Two Factors",NA,0.3495225,1.05009,2.04972,0.63881,6.59,0.396875
"26",26,8,8,"8-8f--2346789M","Eight Factors",0.00348,0.4156425,1.086195,1.49814,0.6608,5.92,0.534124629
"27",27,92,5,"92-5f--45678","Five Factors",0.00435,0.313635,1.27194,1.52337,0.68607,5.93,0.659163987
"28",28,218,1,"218-S-S","Salin",0.00174,0.4169475,1.157535,0.98745,0.62915,6.72,0.55393586
