"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","label_1","label_2","dissim"
"1",0.00261,0.3464775,1.26498,1.388085,0.67391,5.8,0.461290323,"1","2",3.87788283956033
"2",0.0036975,0.344955,1.17015,NA,0.62834,5.92,0.665680473,"6","12",4.20067677061129
"3",0.00087,0.68034,2.52474,1.748265,0.62106,6.59,0.334328358,"2","11",7.31224014555985
"4",0.003915,0.4978575,1.801335,1.980555,0.63213,6.83,0.408227848,"7","11",4.04290362657993
"5",NA,0.3899775,1.483785,1.57296,0.63238,6.65,0.501519757,"3","11",6.03556540928079
"6",NA,0.3495225,1.05009,2.04972,0.63881,6.59,0.396875,"6","11",5.65778917210508
"7",0.0010875,0.1246275,0.754725,1.28934,0.64571,5.83,0.506451613,"2","5",1.58466834417856
"8",NA,0.1376775,0.718185,1.399395,0.67185,5.75,0.536666667,"5","7",3.36945862924501
"9",0.279705,0.1389825,0.849555,1.110555,0.69442,5.7,0.598615917,"3","8",2.73405909050806
"10",0.3051525,0.230985,1.161885,1.4268,0.66271,5.69,0.498392283,"2","8",2.62486835283135
"11",0.398895,0.28971,0.990495,1.41114,0.68863,5.59,0.479233227,"1","9",3.12347342973923
"12",1.7641425,0.4965525,2.12106,1.472475,0.67873,6.7,0.425531915,"7","12",5.0039892776044
"13",1.13796,0.427605,1.234965,1.507275,NA,6.54,0.433224756,"3","12",4.63158753034585
"14",0.35148,0.34713,1.33023,1.77306,0.61973,5.93,0.633633634,"4","5",1.92257380438803
"15",1.471605,0.48372,1.71042,1.142745,0.69459,6.7,0.516025641,"5","12",4.86642271653709
"16",1.3269675,1.3987425,4.781085,2.121495,0.55604,6.96,0.487012987,"11","12",5.26162830345207
"17",0.3199425,0.3403875,1.01442,1.332405,0.6298,5.41,0.598039216,"9","10",2.85277378158709
"18",0.5439675,0.40368,1.15623,1.53555,0.63165,6.73,0.428571429,"10","11",4.2285237188323
"19",0.325815,0.3582225,1.074015,1.456815,0.59485,5.48,0.554878049,"5","6",1.53368602668079
"20",0.2981925,0.177045,0.987885,1.303695,0.66106,5.7,0.546075085,"7","10",1.74703749106554
"21",0.1607325,0.0741675,0.89784,0.958305,0.66857,5.41,0.647230321,"6","10",2.40352076376405
"22",0.3656175,0.176175,0.89958,1.532505,0.60446,5.7,0.517684887,"1","3",2.52729749070019
"23",0.3373425,0.298845,1.10229,1.38591,0.6752,5.59,0.54313099,"8","9",3.35503217858406
"24",1.420275,0.3534375,1.637775,1.41636,0.65338,6.49,0.302702703,"2","12",4.6976561191926
"25",0.3564825,0.277095,0.83085,1.370685,0.67267,5.48,0.548387097,"6","9",1.73375925660553
"26",0.2986275,0.261,1.242795,1.369815,0.67869,5.73,0.573248408,"3","5",0.992999671564049
"27",0.4243425,0.3312525,1.46508,1.375035,0.65126,5.7,0.471571906,"2","10",3.91497931706184
"28",0.394545,0.3878025,1.35894,1.32675,0.65696,5.88,0.553398058,"1","4",2.71934800532071
"29",0.4339125,0.32886,1.13622,1.137525,0.6617,5.87,0.466666667,"7","9",3.69288472066867
"30",0.37845,0.3799725,1.174065,1.194075,0.67441,5.7,0.540983607,"3","6",1.47641981196564
"31",0.8515125,0.3325575,1.37895,1.469865,0.64739,6.6,0.436923077,"10","12",4.93740634702676
"32",0.374535,0.3408225,1.269765,1.43028,0.62054,5.65,0.689655172,"2","4",1.99229426385273
"33",0.6870825,0.3760575,1.45812,1.50162,0.63941,6.75,0.466237942,"9","11",5.8293458100514
"34",0.712095,0.5143875,2.07408,2.271135,0.64407,6.53,0.535483871,"4","11",5.74277984492887
"35",0,NA,1.174065,1.67214,NA,5.6,0.454545455,"1","10",1.43480726661253
"36",0.0054375,0.0102225,1.112295,1.62255,0.65267,6.41,0.480825959,"1","5",2.72004044785344
"37",0.00174,0.0028275,1.08663,1.39722,0.68107,5.7,0.475504323,"1","6",2.44401086546098
"38",0.00174,NA,2.22633,1.90878,0.67922,6.65,0.525083612,"4","12",4.06947436073916
"39",NA,0.0015225,0.68034,1.759575,0.62052,5.56,0.576791809,"2","9",3.09194998211183
"40",NA,0.0023925,2.140635,1.472475,0.70808,6.76,0.441176471,"8","12",5.15687866589251
"41",NA,NA,0.625095,1.377645,0.70083,5.62,0.599369085,"5","9",2.48917837469597
"42",0.0002175,0.0010875,0.010005,NA,0.60199,5.64,0.591591592,"5","8",2.81009166616572
"43",0.0006525,0.0019575,NA,NA,0.64636,6.61,0.4,"9","12",4.30021990473301
"44",NA,0.00348,NA,0.014355,0.67542,5.65,0.608974359,"3","9",2.21192532408012
"45",NA,0.002175,NA,NA,0.67243,5.81,0.540716612,"1","7",1.79879281047943
"46",NA,0.0032625,NA,0.00522,0.65905,5.78,0.697674419,"6","7",2.6317048351108
"47",0.002175,NA,NA,0.00348,0.63373,5.7,0.554179567,"4","9",2.25319979792574
