"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","label_1","label_2","label_3","label_4","label_5","dissim"
"1",0.0006525,0.3543075,1.018335,0.510255,0.68991,5.82,0.579470199,"1","3","5","6","8",24.5821847725707
"2",0.00174,0.5056875,1.684755,1.49901,0.61825,6.33,0.630363036,"2","3","5","6","11",35.2602151185923
"3",0.0010875,0.2707875,0.874785,1.488135,0.48086,6.09,0.620578778,"1","5","6","8","9",27.5528519474576
"4",0.0050025,0.465885,1.33284,1.572525,0.71693,6.05,0.587692308,"2","3","4","8","9",24.0900905701641
"5",0.00435,0.313635,1.27194,1.52337,0.68607,5.93,0.659163987,"4","5","6","7","8",28.865835992927
"6",0.0010875,0.60813,1.629945,NA,0.59307,6.74,0.471471471,"1","2","4","11","12",44.4115306027465
"7",NA,0.2372925,0.958305,1.58688,0.6495,5.78,0.540983607,"1","3","6","7","10",22.0489165152562
"8",0.00522,0.308415,0.924375,1.86876,0.64626,6.92,0.544303797,"3","5","7","8","11",41.5977704595215
"9",0.00783,0.53331,2.218065,1.948365,0.50572,6.98,0.463722397,"4","5","8","11","12",45.9588503848903
"10",0.0050025,1.222785,3.59049,2.419035,0.60997,7,0.426332288,"1","9","10","11","12",40.7064052821746
"11",1.9433625,0.45588,2.61087,1.129695,0.68423,6.31,0.593103448,"2","3","6","9","12",30.5793800525761
"12",0.546795,0.303195,1.485525,1.84875,0.63241,6.73,0.451298701,"3","5","6","9","11",34.3923300413567
"13",0.37236,0.269265,1.663005,1.533375,0.64224,5.82,0.565625,"2","3","4","5","6",16.7061159008745
"14",0.3216825,0.42891,1.461165,1.632555,0.64818,5.99,0.568389058,"2","3","4","5","10",20.9577844618343
"15",1.1338275,1.50771,5.35746,2.339865,0.59068,6.87,0.495238095,"3","4","5","11","12",41.1502155947147
"16",0.27318,0.1890075,1.06401,1.132305,0.62446,5.83,0.726415094,"1","2","6","8","10",30.5063296555154
"17",2.2113225,0.634665,2.73702,1.224525,0.69763,6.41,0.372670807,"1","2","7","10","12",36.6376699820421
"18",0.3543075,0.35322,1.040085,1.194075,0.65759,5.84,0.515822785,"2","5","7","9","10",30.03616481158
"19",0.658155,0.37062,1.679535,1.509015,0.65752,6.56,NA,"4","5","7","9","11",39.0040130660577
"20",0.9137175,0.4434825,1.75566,1.49118,0.66115,6.36,0.398753894,"3","6","7","11","12",42.1686190687286
"21",1.252365,0.8262825,3.336015,2.025795,0.6006,6.64,0.412979351,"6","7","9","11","12",42.3549016775222
"22",0.406725,0.3290775,1.207995,1.21191,0.65696,5.59,0.7090301,"1","2","3","9","10",27.1737110540254
"23",0.9841875,0.353655,1.324575,1.73478,0.67497,6.9,0.611650485,"1","6","8","10","11",38.3627513704761
"24",1.3517625,0.5243925,2.19153,1.33023,0.68454,6.6,0.46223565,"2","3","9","10","12",34.7771199287114
"25",0.665985,0.34713,1.26759,1.55208,0.65281,6.39,0.32807571,"1","2","5","9","11",40.4580626688482
"26",0.3138525,0.30537,0.970485,0.767775,0.63336,5.76,0.4875,"1","2","3","5","10",24.000017267
"27",0.3251625,0.2203275,1.0179,1.32762,0.64772,5.46,0.565217391,"5","6","7","8","10",30.0553055136551
"28",0.29493,0.32451,1.18407,1.59819,0.66356,5.82,0.483180428,"2","4","6","9","10",24.8781820000226
"29",2.81793,0.838245,3.27816,1.641255,0.70782,6.32,0.417177914,"7","8","9","10","12",40.1622933856213
"30",1.214955,0.43761,1.71912,1.3224,0.68186,6.56,0.448275862,"1","2","7","9","12",38.8119675975282
"31",0.4861125,0.32712,1.392,1.787415,0.69315,6.93,0.394230769,"1","7","8","10","11",36.9200747296929
"32",0.6474975,0.2820975,1.18407,1.933575,0.6257,6.58,0.516233766,"3","6","7","8","11",41.3944879436679
"33",2.829675,1.31979,4.74237,1.24845,0.77354,6.65,0.474522293,"1","2","3","9","12",34.9822480039811
"34",1.294125,1.1873325,4.6371,2.133675,NA,6.98,0.421052632,"5","8","10","11","12",47.3542306403896
"35",0.66903,0.2825325,1.13535,1.85745,0.63621,6.71,0.439739414,"1","8","9","10","11",39.3830409528407
"36",1.169715,0.40368,1.285425,1.761315,0.6519,6.87,0.415902141,"3","7","8","10","11",40.3352373363118
"37",0.003045,0.00348,3.171585,1.937055,0.72088,6.84,NA,"1","6","8","9","12",36.3982353826684
"38",0.0010875,0.00261,1.83222,2.020575,0.6276,6.61,0.388704319,"1","2","6","9","11",39.5236081907467
"39",0.0071775,0.014355,4.5327,2.31159,0.54261,6.93,0.359872611,"2","5","10","11","12",46.0439064630652
"40",0.0015225,0.02871,3.93066,2.219805,0.58367,7.12,0.592105263,"1","6","7","11","12",39.7797223815442
"41",0.0015225,0.0010875,2.31072,1.604715,0.64401,6.66,0.374603175,"2","3","5","9","12",30.646258741587
"42",NA,NA,1.729125,1.637775,0.63126,6.52,0.434659091,"1","2","5","6","12",33.1211833182273
"43",0.0067425,0.0023925,1.131,2.254605,0.63299,6.22,0.37254902,"2","4","6","7","11",39.3225535003981
