"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","label_1","label_2","label_3","label_4","label_5","label_6","label_7","label_8","dissim"
"1",0.0019575,0.497205,1.742175,1.79046,0.5962,6.46,0.36746988,"1","2","3","4","5","7","10","11",89.8846409919391
"2",NA,0.366705,1.527285,1.385475,0.63042,6.78,0.46969697,"3","5","6","7","8","9","10","11",96.2512036266769
"3",0.0032625,0.4304325,1.44681,1.586445,0.65999,6.93,0.543973941,"1","3","6","7","8","9","10","11",94.8499766662687
"4",0.0145725,0.3129825,1.70781,1.506405,0.60961,6.69,0.48013245,"1","2","4","6","8","9","10","11",98.2739712502812
"5",0.00348,0.4156425,1.086195,1.49814,0.6608,5.92,0.534124629,"2","3","4","6","7","8","9","10",77.229827577246
"6",0.003045,0.338865,0.886095,1.20495,0.6291,5.94,0.52,"2","3","4","5","6","7","9","10",67.6144792012747
"7",NA,0.4395675,0.88914,1.31544,0.66033,5.63,0.566775244,"1","2","3","4","6","7","9","10",70.8388067914988
"8",0.0158775,1.084455,3.729255,2.294625,0.52921,6.8,0.417956656,"1","2","5","7","8","10","11","12",113.523785866517
"9",NA,0.23316,0.63423,1.895295,0.50681,7.02,0.592261905,"3","5","6","8","9","10","11","12",105.786755182244
"10",0.37497,0.0957,1.747395,1.30674,0.59704,5.93,0.47440273,"1","3","4","6","7","8","9","10",74.6423311581072
"11",1.6965,0.4678425,2.012745,1.02138,0.66996,6.55,0.526984127,"1","2","4","5","6","10","11","12",102.136722452197
"12",0.62553,0.2551275,0.95613,1.408965,0.68571,6.61,0.541666667,"1","2","4","7","8","9","10","12",97.1837230422784
"13",1.8315675,1.02747,4.203405,2.34726,0.6002,6.84,0.404388715,"1","2","5","6","7","8","11","12",113.003582554269
"14",1.23279,0.5343975,2.36205,1.550775,0.63471,6.61,0.400611621,"3","4","5","7","9","10","11","12",102.14053952122
"15",1.7610975,1.1107725,4.528785,2.18109,0.5691,6.98,0.420886076,"1","5","7","8","9","10","11","12",110.669885044123
"16",1.001805,0.6853425,3.121125,2.037105,0.58245,6.84,0.380952381,"2","3","4","6","7","9","11","12",104.014363754738
"17",1.321965,0.344955,1.803945,1.395045,0.59489,6.42,0.545741325,"2","4","5","7","8","9","10","12",95.6313629978986
"18",1.169715,0.8415075,3.685755,1.732605,0.5734,6.74,0.480519481,"1","2","3","4","5","9","11","12",102.398813368559
"19",2.0703825,0.585945,2.084955,1.24932,0.70691,6.37,0.426512968,"1","2","5","6","7","8","10","12",94.707603632184
"20",0.9554775,0.70644,2.733105,1.74609,0.56876,6.79,0.327044025,"2","4","5","6","7","9","11","12",105.654986884147
"21",0.4726275,0.4269525,1.92618,1.345455,0.70912,5.7,0.534810127,"1","2","3","4","5","7","8","10",75.9385880019998
"22",1.56078,1.321095,4.619265,1.88529,0.57401,6.96,0.604501608,"1","3","6","7","8","9","11","12",109.112781888222
"23",0.9002325,0.45414,1.58427,1.58688,0.61281,6.67,0.420529801,"1","2","3","6","7","9","10","11",92.3722344168494
"24",0.47589,0.3699675,1.225395,1.74609,0.62275,6.41,0.342105263,"1","3","4","5","6","7","10","11",82.8583087347594
"25",0.84042,0.54375,2.895795,1.56513,0.51535,6.52,0.398713826,"1","2","5","6","7","9","11","12",107.374298796136
"26",2.1682575,1.1464425,4.57359,1.741305,0.48991,6.76,0.369127517,"1","2","3","5","8","10","11","12",109.028295893756
"27",0.39585,0.3160275,1.1745,1.66779,0.67789,5.93,0.653846154,"1","2","4","5","6","8","9","10",74.528877577404
"28",1.231485,0.490245,1.68606,1.50945,0.65155,6.25,0.60472973,"1","2","3","4","6","8","9","12",85.3612603670182
"29",3.0012825,1.59819,5.149965,1.55991,0.70232,6.71,0.501587302,"1","3","4","5","6","7","8","12",87.0788801041088
"30",0.7236225,0.48633,2.02536,1.86528,0.53056,6.3,0.378548896,"2","3","6","7","9","10","11","12",106.201511856492
"31",1.7015025,0.545055,2.424255,1.530765,NA,6.56,0.422077922,"2","3","4","5","6","7","10","12",81.6960210856569
"32",0.5526675,0.3134175,1.491615,2.05494,0.64356,6.57,0.340836013,"1","3","4","5","6","9","10","11",83.3056855120443
"33",1.3748175,0.4674075,2.118015,1.78002,0.67914,6.37,0.537704918,"1","2","3","7","8","9","10","12",97.1302322919332
"34",0.96744,0.4552275,1.80612,1.850925,0.67882,6.61,0.582781457,"2","4","5","6","7","8","10","11",99.5581731411898
"35",0.508515,0.5191725,1.994475,1.75566,0.63645,6.61,0.508143322,"2","3","4","6","7","9","10","11",91.7623418109637
"36",0.0028275,NA,1.850055,1.7574,NA,6.61,0.513353116,"1","2","3","4","7","8","10","11",97.935421829149
"37",NA,0.0087,6.41451,3.228135,0.54302,6.81,0.404907975,"1","2","4","8","9","10","11","12",111.335444251539
"38",0.00261,NA,1.82091,2.131935,0.64389,6.71,0.489361702,"1","3","4","5","8","9","10","11",92.5959673881916
"39",0.011745,0.0145725,2.036235,2.014485,0.64217,6.67,1.441666667,"2","3","5","6","7","8","10","11",98.2427595970346
"40",0.010005,0.00435,5.77419,3.073275,0.55172,6.61,0.361290323,"2","3","4","7","8","10","11","12",111.629727024554
"41",NA,NA,3.29469,1.67562,0.4242,6.89,0.45482866,"1","2","3","5","6","10","11","12",101.312573451065
"42",0.0028275,NA,2.57085,1.28499,0.69796,6.68,0.58496732,"1","2","3","6","7","8","9","12",94.4542322051884
"43",0.0015225,0.0045675,2.59695,1.690845,NA,6.76,0.425925926,"1","2","4","5","7","8","11","12",112.973251078698
"44",NA,0.003915,4.471365,2.345955,0.57641,6.83,0.382716049,"1","3","5","6","8","9","11","12",105.451307325241
"45",0.0280575,NA,2.40381,1.926615,0.54612,6.87,0.342019544,"1","3","4","5","7","9","11","12",102.426881569452
"46",0.0986,NA,3.047175,1.152315,0.66073,6.61,0.493506494,"1","2","3","4","5","7","8","12",90.4261357196816
"47",0.00522,0.0132675,NA,0.027405,0.70866,6.87,0.431746032,"1","3","5","6","7","8","9","12",90.2240531872355
"48",0.0045675,0.0050025,0.00348,0.02436,0.53247,6.87,0.424148607,"1","3","4","5","8","9","11","12",105.524437224969
"49",0.004785,0.00348,0.003915,0.00609,0.495,6.78,0.473509934,"2","3","4","6","7","10","11","12",102.898921846905
"50",0.0010875,0.00348,0.00783,0.00783,0.54193,6.44,0.388059701,"2","5","6","8","9","10","11","12",111.027124335793
