"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"AntiB",-0.073460721162203,-0.0382718977250737,-0.127573302510122,-0.0994073285983477,-0.00266887362499999,0.024657325,-0.0186511943417808
"Cu",-0.0825831257912767,-0.0983979113611445,-0.0992746042519665,-0.293979912703575,0.00411107987499998,0.0317436750000003,-0.025801650538895
"Drought",-0.0637592947982632,-0.101673754394637,0.315352676501535,-0.07400074310309,0.00850378982142858,0.846250735714286,-0.14430979785759
"Fung",0.0586632693634988,-0.0420097607540033,-0.175290422100304,-0.237617083317988,0.02833526245,0.1672737,-0.0152985148704986
"Herb",-0.0572453485024918,-0.0463014259764318,0.179569590461613,0.106573299198228,0.013369402675,0.096282625,0.00271402870219001
"Insect",-0.0734419136832547,-0.0542992585569473,0.0783705170242604,0.0571922288665237,-0.00614481699166666,0.0240206250000001,-0.0361196136558125
"Li",-0.0163861184501471,-0.0569529383325529,-0.0392466954060575,-0.0941858445969285,-0.00511457177500003,0.101881125,-0.00109168972077499
"MP",0.0672858666122426,0.0436715272192797,0.124423539127712,0.0378505314452487,-0.0137643183,0.1448153,-0.0180019019279475
"Nit",0.0190213105345921,-0.0750246771467601,0.111322981435072,-0.166899680581333,-0.00266014312857145,0.103098378571429,-0.022277243166935
"PFAS",0.080962099164312,0.0318023201292965,-0.0152930404592124,0.113823938309177,-0.00848502190714287,0.13928320952381,-0.0675897056326314
"Salin",0.210703161356957,0.0922160678267192,0.342702173624312,0.33911781790625,-0.0157576216,0.724336,-0.139023475500965
"Surf",0.0263098427486145,0.0422135862820405,0.145183702861861,0.117450736748443,-0.02618082695,0.0114919333333334,-0.0832639646450417
