"","Resource soil microbe","Prox effect nomin pos microb","Prox effects nomin neg microb","Effect mode: toxicant","Effect mode: soil physical habitat modifier","Effect mode: osmotic","Effect mode: rhythm changer","Effect mode: general metabolic rate regulation"
"1","1","1","0","0","0","0","0","0"
"2","1","0","1","0","0","1","0","0"
"3","0","0","0","0","1","0","0","0"
"4","0","0","0","0","1","0","0","0"
"5","0","0","1","1","0","0","0","0"
"6","0","0","1","0","0","1","0","0"
"7","0","0","0","1","0","0","0","0"
"8","0","0","1","1","0","0","0","0"
"9","0","0","1","1","0","0","0","0"
"10","0","0","0","1","0","0","0","0"
"11","0","0","0","1","0","0","0","0"
"12","0","0","0","1","0","0","0","0"
