"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","id"
"AntiB",-0.838523415409462,-0.613799911199774,-0.76735995848522,-0.55757262284472,-0.185141266454464,0.0884066884843363,-0.369136677895714,"AntiB"
"Cu",-0.942651849834003,-1.57809340131428,-0.597141836877519,-1.6489242121382,0.285187926255953,0.113814178426615,-0.510655531738161,"Cu"
"Drought",-0.727785689991926,-1.63063096235988,1.89686252520758,-0.415067872824157,0.589912689178706,3.03415821350991,-2.85611947378736,"Drought"
"Fung",0.669616690491677,-0.673747291173326,-1.05438088047516,-1.33278685028988,1.96563311434899,0.599745263832241,-0.302781840805957,"Fung"
"Herb",-0.65343171674868,-0.742576481493302,1.08012029766885,0.597766329676409,0.927442993105079,0.345212955372457,0.0537149268020753,"Herb"
"Insect",-0.838308735901373,-0.870844720580253,0.471402679925372,0.320789437811863,-0.426269415423549,0.0861238561593388,-0.714864364579361,"Insect"
"Li",-0.187040690463449,-0.913404105074851,-0.236070886031071,-0.528285481032708,-0.354800724517544,0.365285888891383,-0.0216062687158351,"Li"
"MP",0.768040032657789,0.700398493999706,0.748413970172559,0.212302456886912,-0.954838512424641,0.519222629172698,-0.356286152603164,"MP"
"Nit",0.217120306235663,-1.20323639296056,0.669613443656755,-0.936135131743461,-0.18453562700027,0.369650245418126,-0.440901927491911,"Nit"
"PFAS",0.924148508698666,0.51004163450511,-0.0919884228203853,0.638434939560566,-0.588610748394767,0.499387801209985,-1.33770733069294,"PFAS"
"Salin",2.40508848406884,1.47894976752485,2.0613711532966,1.90210132240199,-1.09311508495807,2.59704356048315,-2.75149478127429,"Salin"
"Surf",0.300315853852591,0.677016219510985,0.873287419928388,0.65877753951596,-1.8161787103532,0.0412033247841267,-1.64792574321341,"Surf"
